Arquivo,Algoritmo,Tempo_Segundos
1000.csv,Carregamento,0.0611524
1000.csv,Bubble Sort,3.35417
1000.csv,Insertion Sort,1.75606
1000.csv,Merge Sort,0.0683723
1000.csv,Busca Binaria - During sell,3.65e-05
1000.csv,Busca Binaria - Shoulder great just,4.71e-05
1000.csv,Busca Binaria - Require,4.32e-05
1000.csv,Busca Binaria - Meet at any,2.72e-05
1000.csv,Busca Binaria - Activity ago,3.8e-05
5000.csv,Carregamento,0.307802
5000.csv,Bubble Sort,81.9856
5000.csv,Insertion Sort,25.4505
5000.csv,Merge Sort,0.286723
5000.csv,Busca Binaria - Long board,3.73e-05
5000.csv,Busca Binaria - Four gas,2.46e-05
5000.csv,Busca Binaria - Way general,2.54e-05
5000.csv,Busca Binaria - Cup,2.2e-05
5000.csv,Busca Binaria - Beat media,2.09e-05
20000.csv,Carregamento,0.705711
